timestamp,user_id,hr,hrv,body_temp,accel_mag,fall_duration,env_temp,humidity,pressure,oxygen,uv_index,aqi,is_anomaly
2026-05-18 14:04:58.498767,User_01,80.0,54.9,36.81,0.85,0.0,24.0,55.0,1013.1,20.9,2.0,34.0,0
2026-05-18 14:05:03.498767,User_01,80.1,54.3,36.81,1.05,0.0,24.0,54.8,1013.1,20.9,2.0,34.0,0
2026-05-18 14:05:08.498767,User_01,80.0,54.3,36.82,0.93,0.0,24.0,54.8,1013.1,20.9,2.0,34.0,0
2026-05-18 14:05:13.498767,User_01,80.4,54.2,36.82,0.97,0.0,24.0,54.7,1013.0,20.89,2.0,33.0,0
2026-05-18 14:05:18.498767,User_01,80.2,53.0,36.82,1.0,0.0,24.1,54.6,1012.9,20.9,2.0,32.0,0
2026-05-18 14:05:23.498767,User_01,80.0,52.6,36.82,1.04,0.0,24.1,54.6,1012.9,20.9,2.0,32.0,0
2026-05-18 14:05:28.498767,User_01,80.3,52.2,36.81,1.15,0.0,24.0,54.6,1013.0,20.9,2.0,31.0,0
2026-05-18 14:05:33.498767,User_01,79.6,52.0,36.8,1.19,0.0,24.0,54.5,1012.9,20.9,2.0,31.0,0
2026-05-18 14:05:38.498767,User_01,79.4,51.5,36.78,1.05,0.0,24.0,54.5,1012.9,20.9,2.0,30.0,0
2026-05-18 14:05:43.498767,User_01,79.3,51.8,36.77,1.08,0.0,24.0,54.6,1012.9,20.9,2.0,30.0,0
2026-05-18 14:05:48.498767,User_01,79.3,51.2,36.78,1.01,0.0,24.0,54.6,1012.8,20.9,2.0,29.0,0
2026-05-18 14:05:53.498767,User_01,78.9,50.9,36.78,1.13,0.0,24.0,54.6,1012.7,20.9,2.0,29.0,0
2026-05-18 14:05:58.498767,User_01,78.7,50.8,36.79,0.97,0.0,24.0,54.5,1012.8,20.9,2.0,29.0,0
2026-05-18 14:06:03.498767,User_01,78.9,51.1,36.77,1.08,0.0,24.0,54.5,1012.7,20.9,2.0,28.0,0
2026-05-18 14:06:08.498767,User_01,79.5,50.6,36.78,0.94,0.0,24.0,54.3,1012.7,20.89,2.0,28.0,0
2026-05-18 14:06:13.498767,User_01,79.7,51.1,36.78,1.09,0.0,24.0,54.4,1012.7,20.89,2.0,28.0,0
2026-05-18 14:06:18.498767,User_01,79.7,50.7,36.78,0.94,0.0,24.0,54.3,1012.7,20.89,2.0,27.0,0
2026-05-18 14:06:23.498767,User_01,80.3,51.1,36.78,1.05,0.0,24.0,54.3,1012.7,20.9,2.0,26.0,0
2026-05-18 14:06:28.498767,User_01,80.5,51.0,36.77,1.11,0.0,24.0,54.4,1012.7,20.9,2.0,26.0,0
2026-05-18 14:06:33.498767,User_01,80.4,51.1,36.76,0.97,0.0,24.0,54.5,1012.7,20.9,2.0,25.0,0
2026-05-18 14:06:38.498767,User_01,79.5,51.0,36.76,1.06,0.0,24.0,54.4,1012.7,20.9,2.0,24.0,0
2026-05-18 14:06:43.498767,User_01,79.0,50.5,36.75,0.99,0.0,24.0,54.1,1012.6,20.9,2.0,23.0,0
2026-05-18 14:06:48.498767,User_01,80.0,51.3,36.75,1.12,0.0,24.0,54.1,1012.6,20.9,2.0,23.0,0
2026-05-18 14:06:53.498767,User_01,80.1,51.4,36.74,1.13,0.0,24.0,54.1,1012.6,20.89,2.0,22.0,0
2026-05-18 14:06:58.498767,User_01,80.7,51.6,36.75,0.99,0.0,24.0,54.1,1012.5,20.9,2.1,21.0,0
2026-05-18 14:07:03.498767,User_01,80.4,51.5,36.74,1.02,0.0,24.0,54.3,1012.5,20.9,2.0,20.0,0
