timestamp,user_id,hr,hrv,body_temp,env_temp,humidity,pressure,oxygen,uv_index,aqi,accel_mag,fall_duration,label
2026-05-25 14:32:07.113503,User_NORMAL_WALKING_001,75.3,68.2,36.79,25.9,60.6,1007.8,20.9,1.6,25,0.99,0,0
2026-05-25 14:32:12.113503,User_NORMAL_WALKING_001,78.1,68.6,36.77,25.9,60.6,1007.8,20.9,1.6,25,1.02,0,0
2026-05-25 14:32:17.113503,User_NORMAL_WALKING_001,79.9,68.2,36.77,25.9,60.6,1007.8,20.9,1.6,25,1.06,0,0
2026-05-25 14:32:22.113503,User_NORMAL_WALKING_001,80.2,67.6,36.76,25.9,60.6,1007.8,20.9,1.6,25,1.02,0,0
2026-05-25 14:32:27.113503,User_NORMAL_WALKING_001,81.7,67.3,36.75,25.9,60.6,1007.8,20.9,1.6,25,1.03,0,0
2026-05-25 14:32:32.113503,User_NORMAL_WALKING_001,83.1,66.9,36.74,25.9,60.6,1007.8,20.9,1.6,25,1.03,0,0
2026-05-25 14:32:37.113503,User_NORMAL_WALKING_001,84.1,66.1,36.72,25.9,60.6,1007.8,20.9,1.6,25,0.99,0,0
2026-05-25 14:32:42.113503,User_NORMAL_WALKING_001,83.8,66.4,36.72,25.9,60.6,1007.8,20.9,1.6,25,1.05,0,0
2026-05-25 14:32:47.113503,User_NORMAL_WALKING_001,83.3,65.4,36.71,25.9,60.6,1007.8,20.9,1.6,25,1.02,0,0
2026-05-25 14:32:52.113503,User_NORMAL_WALKING_001,83.4,65.3,36.7,25.9,60.6,1007.8,20.9,1.6,25,1.05,0,0
2026-05-25 14:32:57.113503,User_NORMAL_WALKING_001,83.6,65.7,36.68,25.9,60.6,1007.8,20.9,1.6,25,1.07,0,0
2026-05-25 14:33:02.113503,User_NORMAL_WALKING_001,84.1,64.7,36.68,25.9,60.6,1007.8,20.9,1.6,25,0.99,0,0
2026-05-25 14:33:07.113503,User_NORMAL_WALKING_001,85.4,64.8,36.68,25.9,60.6,1007.8,20.9,1.6,25,1.03,0,0
2026-05-25 14:33:12.113503,User_NORMAL_WALKING_001,85.7,64.0,36.67,25.9,60.6,1007.8,20.9,1.6,25,1.01,0,0
2026-05-25 14:33:17.113503,User_NORMAL_WALKING_001,86.2,64.4,36.66,25.9,60.6,1007.8,20.9,1.6,25,0.99,0,0
2026-05-25 14:33:22.113503,User_NORMAL_WALKING_001,85.6,64.0,36.64,25.9,60.6,1007.8,20.9,1.6,25,1.0,0,0
2026-05-25 14:33:27.113503,User_NORMAL_WALKING_001,87.2,63.6,36.64,25.9,60.6,1007.8,20.9,1.6,25,1.05,0,0
2026-05-25 14:33:32.113503,User_NORMAL_WALKING_001,87.3,63.1,36.62,25.9,60.6,1007.8,20.9,1.6,25,0.99,0,0
2026-05-25 14:33:37.113503,User_NORMAL_WALKING_001,88.0,62.8,36.61,25.9,60.6,1007.8,20.9,1.6,25,1.06,0,0
